query_id	doc_id	relevance	score
Q001	202511120135	0	0
Q001	202511120256	0	0
Q001	202511120267	0	0
Q001	202511120272	0	0
Q001	202511120276	0	0
Q001	202511120312	0	0
Q001	202511120317	0	0
Q001	202511120329	0	0
Q001	202511120334	0	0
Q001	202511120344	0	0
Q001	202511120352	0	0
Q001	202511120365	0	0
Q001	202511113003	0	0
Q001	202511113004	0	0
Q001	202511113005	0	0
Q001	202511113006	0	0
Q001	202511110317	0	0
Q001	202511110408	0	0
Q001	202511123003	0	0
Q001	202511070045	0	0
Q002	202511120135	0	0
Q002	202511120256	0	0
Q002	202511120267	0	0
Q002	202511120272	0	0
Q002	202511120276	0	0
Q002	202511120312	0	0
Q002	202511120317	0	0
Q002	202511120329	0	0
Q002	202511120334	0	0
Q002	202511120344	0	0
Q002	202511120352	0	0
Q002	202511120365	0	0
Q002	202511113003	0	0
Q002	202511113004	0	0
Q002	202511113005	0	0
Q002	202511113006	0	0
Q002	202511110317	0	0
Q002	202511110408	0	0
Q002	202511123003	0	0
Q002	202511070045	0	0
Q003	202511113006	1	4
Q003	202511110126	1	4
Q003	202511080134	1	3
Q003	202511100371	1	3
Q003	202511120175	1	3
Q003	202511120156	1	3
Q003	202511120347	1	3
Q003	202511130010	1	3
Q003	202511130011	1	3
Q003	202511120211	0	1
Q003	202511130028	0	1
Q003	202511120135	0	0
Q003	202511120256	0	0
Q003	202511120267	0	0
Q003	202511120272	0	0
Q003	202511120276	0	0
Q003	202511120312	0	0
Q003	202511120317	0	0
Q003	202511120329	0	0
Q003	202511120334	0	0
Q004	202511120135	0	0
Q004	202511120256	0	0
Q004	202511120267	0	0
Q004	202511120272	0	0
Q004	202511120276	0	0
Q004	202511120312	0	0
Q004	202511120317	0	0
Q004	202511120329	0	0
Q004	202511120334	0	0
Q004	202511120344	0	0
Q004	202511120352	0	0
Q004	202511120365	0	0
Q004	202511113003	0	0
Q004	202511113004	0	0
Q004	202511113005	0	0
Q004	202511113006	0	0
Q004	202511110317	0	0
Q004	202511110408	0	0
Q004	202511123003	0	0
Q004	202511070045	0	0
Q005	202511120135	0	0
Q005	202511120256	0	0
Q005	202511120267	0	0
Q005	202511120272	0	0
Q005	202511120276	0	0
Q005	202511120312	0	0
Q005	202511120317	0	0
Q005	202511120329	0	0
Q005	202511120334	0	0
Q005	202511120344	0	0
Q005	202511120352	0	0
Q005	202511120365	0	0
Q005	202511113003	0	0
Q005	202511113004	0	0
Q005	202511113005	0	0
Q005	202511113006	0	0
Q005	202511110317	0	0
Q005	202511110408	0	0
Q005	202511123003	0	0
Q005	202511070045	0	0
Q006	202511120356	2	18
Q006	202511120135	2	12
Q006	202511120400	2	9
Q006	202511135001	2	8
Q006	202511120390	2	6
Q006	202511120256	0	0
Q006	202511120267	0	0
Q006	202511120272	0	0
Q006	202511120276	0	0
Q006	202511120312	0	0
Q006	202511120317	0	0
Q006	202511120329	0	0
Q006	202511120334	0	0
Q006	202511120344	0	0
Q006	202511120352	0	0
Q006	202511120365	0	0
Q006	202511113003	0	0
Q006	202511113004	0	0
Q006	202511113005	0	0
Q006	202511113006	0	0
Q007	202511120406	2	16
Q007	202511120356	2	10
Q007	202511120390	2	9
Q007	202511120135	2	7
Q007	202511120276	2	6
Q007	202511120397	0	1
Q007	202511120256	0	0
Q007	202511120267	0	0
Q007	202511120272	0	0
Q007	202511120312	0	0
Q007	202511120317	0	0
Q007	202511120329	0	0
Q007	202511120334	0	0
Q007	202511120344	0	0
Q007	202511120352	0	0
Q007	202511120365	0	0
Q007	202511113003	0	0
Q007	202511113004	0	0
Q007	202511113005	0	0
Q007	202511113006	0	0
Q008	202511120317	2	26
Q008	202511120371	2	22
Q008	202511120369	2	22
Q008	202511130002	2	19
Q008	202511120382	2	19
Q008	202511120267	2	17
Q008	202511120364	2	15
Q008	202511100369	2	14
Q008	202511120204	2	14
Q008	202511070126	2	13
Q008	202511120387	2	13
Q008	202511130021	2	13
Q008	202511120399	2	12
Q008	202511130025	2	11
Q008	202511110158	2	10
Q008	202511130018	2	9
Q008	202511120312	2	7
Q008	202511070343	2	7
Q008	202511120373	2	7
Q008	202511110349	2	6
Q008	202511120261	2	6
Q008	202511120342	2	6
Q008	202511120360	2	6
Q008	202511130031	2	6
Q008	202511110317	2	5
Q008	202511120355	2	5
Q008	202511135001	2	5
Q008	202511100116	2	5
Q008	202511120381	2	5
Q008	202511120337	2	5
Q008	202511130029	2	5
Q008	202511120329	1	4
Q008	202511120104	1	4
Q008	202511110340	1	4
Q008	202511120273	1	4
Q008	202511120297	1	4
Q008	202511120390	1	4
Q008	202511080130	1	4
Q008	202511100032	1	4
Q008	202511120366	1	4
Q008	202511130012	1	4
Q008	202511130030	1	4
Q008	202511120272	1	3
Q008	202511113005	1	3
Q008	202511120356	1	3
Q008	202511120362	1	3
Q008	202511100371	1	3
Q008	202511120156	1	3
Q008	202511120358	1	3
Q008	202511120221	1	3
Q009	202511120355	0	1
Q009	202511120337	0	1
Q009	202511120135	0	0
Q009	202511120256	0	0
Q009	202511120267	0	0
Q009	202511120272	0	0
Q009	202511120276	0	0
Q009	202511120312	0	0
Q009	202511120317	0	0
Q009	202511120329	0	0
Q009	202511120334	0	0
Q009	202511120344	0	0
Q009	202511120352	0	0
Q009	202511120365	0	0
Q009	202511113003	0	0
Q009	202511113004	0	0
Q009	202511113005	0	0
Q009	202511113006	0	0
Q009	202511110317	0	0
Q009	202511110408	0	0
Q010	202511070126	0	1
Q010	202511100369	0	1
Q010	202511120135	0	0
Q010	202511120256	0	0
Q010	202511120267	0	0
Q010	202511120272	0	0
Q010	202511120276	0	0
Q010	202511120312	0	0
Q010	202511120317	0	0
Q010	202511120329	0	0
Q010	202511120334	0	0
Q010	202511120344	0	0
Q010	202511120352	0	0
Q010	202511120365	0	0
Q010	202511113003	0	0
Q010	202511113004	0	0
Q010	202511113005	0	0
Q010	202511113006	0	0
Q010	202511110317	0	0
Q010	202511110408	0	0
Q011	202511120406	1	4
Q011	202511120397	1	4
Q011	202511120355	1	3
Q011	202511120348	1	2
Q011	202511120356	1	2
Q011	202511120350	0	1
Q011	202511120135	0	0
Q011	202511120256	0	0
Q011	202511120267	0	0
Q011	202511120272	0	0
Q011	202511120276	0	0
Q011	202511120312	0	0
Q011	202511120317	0	0
Q011	202511120329	0	0
Q011	202511120334	0	0
Q011	202511120344	0	0
Q011	202511120352	0	0
Q011	202511120365	0	0
Q011	202511113003	0	0
Q011	202511113004	0	0
Q012	202511080134	2	29
Q012	202511120211	2	24
Q012	202511120371	2	22
Q012	202511120175	2	15
Q012	202511120343	2	15
Q012	202511120381	2	12
Q012	202511110126	2	11
Q012	202511120156	2	11
Q012	202511120331	2	9
Q012	202511120393	2	8
Q012	202511130028	2	8
Q012	202511070126	2	7
Q012	202511070343	2	6
Q012	202511100371	2	6
Q012	202511130025	2	6
Q012	202511070045	2	5
Q012	202511120104	2	5
Q012	202511120368	2	5
Q012	202511120366	2	5
Q012	202511130010	2	5
Q012	202511130011	2	5
Q012	202511113006	1	4
Q012	202511120204	1	4
Q012	202511110408	1	3
Q012	202511100369	1	3
Q012	202511120256	1	2
Q012	202511110317	1	2
Q012	202511123003	1	2
Q012	202511120373	1	2
Q012	202511120321	1	2
Q012	202511120339	1	2
Q012	202511100032	1	2
Q012	202511120360	1	2
Q012	202511120364	1	2
Q012	202511120386	1	2
Q012	202511120235	1	2
Q012	202511130030	1	2
Q013	202511120365	2	14
Q013	202511120393	2	9
Q013	202511123003	1	4
Q013	202511120369	1	4
Q013	202511120344	1	3
Q013	202511120267	1	2
Q013	202511120329	1	2
Q013	202511120352	1	2
Q013	202511120362	1	2
Q013	202511130025	1	2
Q013	202511120256	0	1
Q013	202511120317	0	1
Q013	202511070045	0	1
Q013	202511120204	0	1
Q013	202511120339	0	1
Q013	202511120358	0	1
Q013	202511120337	0	1
Q013	202511120367	0	1
Q013	202511130017	0	1
Q013	202511130024	0	1
Q014	202511120135	0	0
Q014	202511120256	0	0
Q014	202511120267	0	0
Q014	202511120272	0	0
